,0
0,Vermont
1,Connecticut
2,Maine
3,Indiana
4,California
5,Mississippi
6,Rhode Island
7,Louisiana
8,Illinois
9,Nebraska
10,New Jersey
11,Tennessee
12,North Dakota
13,North Carolina
14,Michigan
15,Alaska
16,Utah
17,Florida
18,Oklahoma
19,Hawaii
20,Montana
21,Iowa
22,Missouri
23,Kansas
24,Kentucky
25,Virginia
26,Minnesota
27,Arkansas
28,Maryland
29,New York
30,Texas
31,Oregon
32,South Dakota
33,West Virginia
34,Idaho
35,Pennsylvania
36,Colorado
37,Washington
38,Wisconsin
39,Delaware
40,Massachusetts
41,New Hampshire
42,Nevada
43,Alabama
44,New Mexico
45,Wyoming
46,South Carolina
47,Georgia
